source,label,agree,disagree,publisher,site
Common Ground Committee,Center,0,0,https://commongroundcommittee.org/,commongroundcommittee.org
Concord Monitor,Center,12,18,http://www.concordmonitor.com/,www.concordmonitor.com
Conservative HQ,Right,809,374,http://www.conservativehq.com/,www.conservativehq.com
Cook Report,Center,862,538,http://cookpolitical.com,cookpolitical.com
Council on Foreign Relations,Left,143,204,http://www.crf.org,www.crf.org
Counter Currents,Lean Left,333,247,http://www.countercurrents.org/,www.countercurrents.org
Counterpointing,Mixed,368,347,http://www.counterpointing.com/,www.counterpointing.com
CrowdPAC,Center,393,412,https://www.crowdpac.com/,www.crowdpac.com
CU Independent,Center,343,407,http://cuindependent.com/,cuindependent.com
Current Affairs,Left,292,133,https://www.currentaffairs.org,www.currentaffairs.org
Daily Beast,Left,9638,4663,http://www.thedailybeast.com/,www.thedailybeast.com
Daily Cardinal,Center,402,427,http://www.dailycardinal.com/,www.dailycardinal.com
Daily Kos,Left,5385,1995,http://www.dailykos.com,www.dailykos.com
Daily Mail,Right,3861,2637,http://dailymail.co.uk,dailymail.co.uk
Daily Northwestern,Lean Left,362,369,http://dailynorthwestern.com/,dailynorthwestern.com
Daily Press,Lean Right,344,434,http://www.dailypress.com,www.dailypress.com
Daily Progress,Center,400,391,http://www.dailyprogress.com,www.dailyprogress.com
Daily Targum,Lean Left,245,379,http://www.dailytargum.com/,www.dailytargum.com
Democracy Now,Left,6758,2079,http://www.democracynow.org/,www.democracynow.org
Des Moines Register,Center,83,97,http://desmoinesregister.com/,desmoinesregister.com
Deseret News,Lean Right,1095,1739,http://www.deseretnews.com/,www.deseretnews.com
Detroit Free Press,Lean Left,109,177,http://www.freep.com/,www.freep.com
Detroit News,Center,56,95,http://www.detroitnews.com/,www.detroitnews.com
Diplomatic Courier,Center,344,269,http://www.diplomaticourier.com/,www.diplomaticourier.com
Drudge Report,Lean Right,2016,1357,http://www.drudgereport.com/,www.drudgereport.com
Duke Chronicle,Center,377,374,http://www.dukechronicle.com/,www.dukechronicle.com
Economic Policy Institute,Left,173,186,http://www.epi.org/,www.epi.org
EdVotes.org,Left,112,57,http://educationvotes.nea.org,educationvotes.nea.org
Environmental Defense Fund,Lean Left,281,201,http://www.edf.org,www.edf.org
Estes Park Trail Gazette,Center,237,324,http://www.eptrail.com/,www.eptrail.com
Eurek Alert,Center,331,363,http://www.eurekalert.org/,www.eurekalert.org
FactCheck.org,Center,5863,4475,http://factcheck.org/,factcheck.org
FAIR,Lean Left,497,487,http://fair.org/,fair.org
Falls Church News - Press,Left,380,450,http://www.fcnp.com,www.fcnp.com
Federation of American Scientists,Lean Left,222,256,https://fas.org/,fas.org
Fiscal Times,Lean Right,700,597,http://www.thefiscaltimes.com/,www.thefiscaltimes.com
FiveThirtyEight,Center,3509,2216,http://fivethirtyeight.com/,fivethirtyeight.com
Food Democracy Now,Lean Left,134,134,http://www.fooddemocracynow.org/blog/,www.fooddemocracynow.org
Forbes,Center,5538,3224,http://www.forbes.com/,www.forbes.com
Foreign Affairs,Center,870,490,https://www.foreignaffairs.com,www.foreignaffairs.com
Fox News Latino,Right,1813,935,http://latino.foxnews.com/index.html,latino.foxnews.com
Fox News Opinion,Right,9755,2308,http://www.foxnews.com/opinion.html,www.foxnews.com
Fox Online News,Lean Right,25637,34462,http://www.foxnews.com/,www.foxnews.com
Freakonomics,Center,345,223,http://freakonomics.com,freakonomics.com
Freedom House,Lean Right,113,161,https://freedomhouse.org/,freedomhouse.org
FrontPage Magazine,Right,505,389,http://frontpagemag.com/,frontpagemag.com
Gell,Mixed,66,43,https://www.gell.com,www.gell.com
Google News,Lean Left,298,210,https://news.google.com/,news.google.com
GOP.gov,Right,443,221,https://www.gop.gov/,www.gop.gov
GQ.com,Lean Left,51,63,https://www.gq.com/,www.gq.com
Hampton Roads Messanger,Center,376,374,http://www.hamptonroadsmessenger.com/,www.hamptonroadsmessenger.com
Harvard Business School,Lean Left,664,784,http://hbswk.hbs.edu/,hbswk.hbs.edu
Healthcare.gov,Lean Left,225,403,http://www.healthcare.gov/,www.healthcare.gov
Heavy.com,Center,24,25,https://heavy.com/,heavy.com
Herald Democrat,Left,439,359,http://heralddemocrat.com/,heralddemocrat.com
Honolulu Civil Beat,Center,326,442,https://www.civilbeat.org/,www.civilbeat.org
HotAir,Lean Right,995,890,http://hotair.com/,hotair.com
Houston Chronicle,Center,25,16,https://www.houstonchronicle.com/,www.houstonchronicle.com
HuffPost,Left,23263,20388,http://www.huffpost.com/,www.huffpost.com
Idaho Statesman,Center,42,35,http://www.idahostatesman.com/,www.idahostatesman.com
Inacow,Right,372,256,http://www.inacow.com/,www.inacow.com
Independent Institute,Lean Right,205,252,http://www.independent.org,www.independent.org
Independent Journal Review,Lean Right,1195,1101,http://www.ijreview.com/,www.ijreview.com
Indiana Daily Student,Center,268,349,http://www.idsnews.com/,www.idsnews.com
Indy Online,Center,271,298,https://www.theindyonline.com/,www.theindyonline.com
Indy Week,Lean Left,293,336,http://www.indyweek.com/,www.indyweek.com
InfoWars,Right,4291,1005,http://www.infowars.com/,www.infowars.com
International Business Times,Center,998,765,http://www.ibtimes.com/,www.ibtimes.com
Investor's Business Daily,Lean Right,1138,909,http://www.investors.com,www.investors.com
IVN,Center,421,415,http://www.ivn.us,www.ivn.us
Jacobin,Left,583,141,https://jacobinmag.com/,jacobinmag.com
Jezebel,Left,147,61,https://jezebel.com/,jezebel.com
Journalist's Resource,Center,251,287,http://journalistsresource.org/,journalistsresource.org
Jubilee Media,Center,169,144,https://www.jubileemedia.com/,www.jubileemedia.com
Judicial Watch,Lean Right,1065,1183,http://www.judicialwatch.org,www.judicialwatch.org
KQED,Center,470,392,http://KQED.org,KQED.org
KSL,Right,863,671,http://www.ksl.com/,www.ksl.com
Las Vegas Sun,Lean Left,279,282,http://lasvegassun.com/,lasvegassun.com
Leesburg Today,Lean Right,215,190,http://www.leesburgtoday.com,www.leesburgtoday.com
Lifehacker,Center,319,303,http://www.lifehacker.com/,www.lifehacker.com
Listen First Project,Mixed,128,102,http://www.listenfirstproject.org/,www.listenfirstproject.org
Live Action News,Lean Right,275,183,http://liveactionnews.org/,liveactionnews.org
Longmont Times-Call,Lean Left,176,161,http://www.timescall.com/,www.timescall.com
Los Angeles Times,Lean Left,4201,3118,http://www.latimes.com/,www.latimes.com
Louisville Courier-Journal,Lean Left,198,193,http://www.courier-journal.com/,www.courier-journal.com
Manhattan Institute,Lean Right,188,273,http://www.manhattan-institute.org,www.manhattan-institute.org
MarketWatch,Lean Right,131,244,https://www.marketwatch.com/,www.marketwatch.com
Media Matters,Left,2518,1571,https://www.mediamatters.org/,www.mediamatters.org
Mediaite,Lean Left,689,701,http://www.mediaite.com/,www.mediaite.com
Miami Herald,Lean Left,296,321,http://www.miamiherald.com/,www.miamiherald.com
MichelleMalkin.com,Right,546,280,http://michellemalkin.com/,michellemalkin.com
Michigan Daily,Lean Left,237,213,https://www.michigandaily.com/,www.michigandaily.com
Mismatch.org,Mixed,84,90,https://www.mismatch.org/,www.mismatch.org
MIT News,Center,220,179,http://news.mit.edu,news.mit.edu
Mother Jones,Left,7233,1309,http://www.motherjones.com/,www.motherjones.com
MSNBC,Left,7814,2543,http://www.msnbc.com/,www.msnbc.com
MTV News Online,Lean Left,74,106,http://www.mtv.com/news/,www.mtv.com
National Committee to Preserve Social Security and Medicare,Left,224,215,http://www.ncpssm.org,www.ncpssm.org
National Interest,Center,181,259,http://nationalinterest.org/,nationalinterest.org
National Journal,Center,968,709,http://www.nationaljournal.com/,www.nationaljournal.com
National Review,Right,10953,4986,http://www.nationalreview.com/,www.nationalreview.com
NBC (Web News),Lean Left,5225,6392,http://www.nbcnews.com,www.nbcnews.com
NBC Today Show,Lean Left,1169,1287,http://www.today.com/,www.today.com
New Economy Working Group,Lean Left,109,80,http://www.ips-dc.org/,www.ips-dc.org
New Hampshire Union Leader,Center,19,20,http://www.unionleader.com/,www.unionleader.com
New Republic,Left,1366,731,http://www.newrepublic.com/,www.newrepublic.com
New York Daily News,Left,1106,507,http://www.nydailynews.com/,www.nydailynews.com
New York Magazine,Left,1838,860,http://nymag.com/,nymag.com
New York Post,Right,4947,3303,http://www.nypost.com/,www.nypost.com
New York Times - News,Lean Left,17776,27257,http://www.nytimes.com/,www.nytimes.com
